Date,Open,High,Low,Close,Adj Close,Volume
2005-07-05,71.108986,71.673042,70.898659,71.500954,44.969673,5420163
2005-07-06,71.510513,72.801147,71.128105,72.476097,45.582981,8377728
2005-07-07,71.845123,74.120461,71.701721,73.977058,46.527000,11252031
2005-07-08,73.977058,76.022942,73.747612,75.812622,47.681427,14058763
2005-07-11,75.908218,76.022942,75.066925,75.487572,47.477001,7517288
2005-07-12,75.717018,76.950287,75.697899,76.520073,48.126400,11448993
2005-07-13,77.590820,78.154877,77.590820,77.868073,48.974186,11861640
2005-07-14,78.393883,79.034416,78.393883,78.795410,49.557430,8939325
2005-07-15,78.804970,79.110901,77.934990,78.757172,49.533379,7995729
2005-07-18,78.384323,80.248566,78.087952,78.212234,49.190636,9106058
